City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,acapulco de juarez,16.8634,-99.8901,305.05,62,100,4.12,MX,1695410359
254,almeirim,-1.5233,-52.5817,305.16,54,70,3.62,BR,1695410502
255,santo antonio do ica,-3.1022,-67.9397,306.61,47,95,1.46,BR,1695410503
256,fortuna,40.5982,-124.1573,293.11,67,40,2.06,US,1695410503
257,trinidad,-14.8333,-64.9,310.14,41,20,4.12,BO,1695410255
258,kati,12.7441,-8.0726,296.82,61,30,1.31,ML,1695410504
259,el calafate,-50.3408,-72.2768,277.69,60,13,2.86,AR,1695410505
260,albemarle,35.3501,-80.2001,299.18,56,100,7.2,US,1695410505
261,kristiansund,63.1115,7.732,285.51,87,19,2.57,NO,1695410506
262,ust-nera,64.5667,143.2,270.31,93,83,1.67,RU,1695410506
263,aitape,-3.1374,142.3475,297.73,92,100,1.78,PG,1695410507
264,wynyard,-41.0,145.7167,279.81,82,100,2.09,AU,1695410507
265,mayqayyng,51.4625,75.7986,288.81,40,100,9.96,KZ,1695410508
266,la'ie,21.6477,-157.9253,301.54,70,86,2.68,US,1695410256
267,nadi,-17.8,177.4167,294.15,83,20,1.03,FJ,1695410509
268,conde,-7.2597,-34.9075,299.85,69,20,5.66,BR,1695410510
269,mana,5.6592,-53.7767,302.98,71,13,5.29,GF,1695410511
270,caleta de carquin,-11.0925,-77.6267,294.17,71,7,5.08,PE,1695410511
271,nova vicosa,-17.8919,-39.3719,298.73,67,54,5.73,BR,1695410344
272,leh,34.1667,77.5833,284.74,45,4,3.35,IN,1695410512
273,mahalapye,-23.1041,26.8142,300.82,21,0,5.39,BW,1695410512
274,jati,24.3539,68.2671,301.83,79,77,3.96,PK,1695410513
275,veracruz,19.3333,-96.6667,303.82,53,30,2.24,MX,1695410185
276,harstad,68.799,16.5293,282.12,97,100,5.81,NO,1695410514
277,inyati,-19.6756,28.8469,296.8,13,0,5.8,ZW,1695410514
278,nhamunda,-2.1861,-56.7131,311.9,26,73,2.45,BR,1695410515
279,gadzhiyevo,69.2551,33.3362,284.62,93,100,6.01,RU,1695410515
280,fernie,49.5,-115.0687,286.53,45,100,1.5,CA,1695410515
281,sulphur,30.2366,-93.3774,307.26,61,75,5.66,US,1695410516
282,shuangjiang,26.1547,109.7138,291.74,96,60,1.39,CN,1695410516
283,cannonvale,-20.2833,148.7,294.81,82,8,8.58,AU,1695410517
284,tolanaro,-25.0319,46.9987,296.19,88,20,9.77,MG,1695410518
285,nema,57.5067,50.5011,290.64,64,100,1.75,RU,1695410446
286,tazacorte,28.629,-17.9293,297.69,83,20,4.63,ES,1695410519
287,ancud,-41.8697,-73.8203,282.1,74,100,3.49,CL,1695410467
288,tumpat,6.1978,102.171,298.16,94,20,1.03,MY,1695410519
289,namibe,-15.1961,12.1522,291.92,88,100,2.35,AO,1695410520
290,mitu,1.1983,-70.1733,305.04,53,96,0.74,CO,1695410521
291,neiafu,-18.65,-173.9833,296.53,68,75,8.75,TO,1695410521
292,rawdon,46.0501,-73.7159,295.44,44,0,2.83,CA,1695410522
293,portland,45.5234,-122.6762,296.76,46,20,2.68,US,1695410296
294,ikungi,-5.1333,34.7667,296.25,40,95,5.81,TZ,1695410523
295,madalena,41.2162,-8.3345,290.63,79,9,1.45,PT,1695410523
296,lazaro cardenas,17.9583,-102.2,303.81,68,16,3.94,MX,1695410524
297,crane,31.3974,-102.3501,307.85,29,3,3.83,US,1695410524
298,selfoss,63.9331,-20.9971,279.29,65,99,3.06,IS,1695410524
299,sinabang,2.4803,96.3801,299.26,85,100,3.32,ID,1695410248
300,saidpur,25.7777,88.8917,297.65,98,100,4.48,BD,1695410525
301,camara de lobos,32.6333,-16.9667,298.55,94,40,6.17,PT,1695410526
302,ceeldheer,3.8488,47.1806,299.12,86,99,8.67,SO,1695410527
303,amungan,15.3652,119.9582,298.85,89,100,2.68,PH,1695410527
304,oloron-sainte-marie,43.1944,-0.6107,287.11,95,76,2.77,FR,1695410528
305,khandyga,62.6667,135.6,274.03,98,100,1.8,RU,1695410528
306,kamogawa,35.1,140.1,296.0,94,100,3.3,JP,1695410529
307,floro,61.5996,5.0328,286.13,88,40,5.66,NO,1695410529
308,okhotsk,59.3833,143.3,277.92,81,20,1.26,RU,1695410530
309,manakara,-22.1333,48.0167,293.96,91,29,2.2,MG,1695410530
310,timimoun,29.2639,0.231,310.36,10,5,2.06,DZ,1695410530
311,nuuk,64.1835,-51.7216,276.49,70,75,2.06,GL,1695410531
312,el bolson,-41.9667,-71.5167,279.9,99,100,1.69,AR,1695410531
313,pak phanang,8.3511,100.202,298.97,85,100,3.08,TH,1695410532
314,yarmouth,41.7057,-70.2286,293.72,61,0,6.26,US,1695410532
315,mariakani,-3.8633,39.4736,295.53,90,3,4.34,KE,1695410533
316,port shepstone,-30.7414,30.455,293.28,75,97,2.95,ZA,1695410534
317,luganville,-15.5333,167.1667,296.99,79,31,2.43,VU,1695410534
318,kaa-khem,51.6833,94.7333,285.59,71,100,1.39,RU,1695410535
319,ha'il,27.5219,41.6907,306.16,16,0,2.06,SA,1695410265
320,kavaratti,10.5669,72.642,300.71,81,100,5.62,IN,1695410536
321,bengkulu,-3.8004,102.2655,294.67,94,28,2.82,ID,1695410536
322,ambon,-3.6954,128.1814,298.64,95,20,3.09,ID,1695410537
323,linkou,45.3,130.2833,278.96,84,0,1.39,CN,1695410537
324,inongo,-1.95,18.2667,295.97,82,100,2.51,CD,1695410538
325,walvis bay,-22.9575,14.5053,285.98,82,100,4.25,NA,1695410331
326,codrington,-38.2667,141.9667,278.41,94,100,3.3,AU,1695410539
327,longyearbyen,78.2186,15.6401,268.06,86,20,2.57,SJ,1695410539
328,semnan,35.5729,53.3971,294.81,31,3,0.3,IR,1695410540
329,nova sintra,14.8667,-24.7167,298.39,78,91,1.75,CV,1695410540
330,macapa,0.0389,-51.0664,301.14,78,75,8.23,BR,1695410541
331,santana,-0.0583,-51.1817,301.25,78,75,8.23,BR,1695410281
332,cromwell,41.5951,-72.6454,296.64,61,75,2.06,US,1695410542
333,bodo,67.28,14.405,283.58,97,100,5.66,NO,1695410542
334,touros,-5.1989,-35.4608,301.14,61,6,7.12,BR,1695410350
335,preobrazheniye,42.9019,133.9064,285.18,76,2,3.28,RU,1695410456
336,charters towers,-20.1,146.2667,290.41,94,17,4.31,AU,1695410546
337,vallenar,-28.5708,-70.7581,301.81,8,7,4.28,CL,1695410547
338,port saint john's,-31.6229,29.5448,292.01,85,46,3.62,ZA,1695410547
339,al muwayh,22.4333,41.7583,302.9,13,61,3.26,SA,1695410548
340,ad douiem,14.0012,32.3116,305.44,42,100,5.79,SD,1695410548
341,orumiyeh,37.5527,45.0761,289.9,51,0,2.06,IR,1695410549
342,sel'tso,53.3675,34.1,288.49,61,68,3.05,RU,1695410549
343,sitka,57.0531,-135.33,284.09,76,100,4.63,US,1695410550
344,northam,51.0333,-4.2167,286.82,79,32,6.22,GB,1695410284
345,siwa oasis,29.2041,25.5195,302.13,23,7,2.63,EG,1695410551
346,dharamsala,32.2419,76.3213,289.6,76,22,3.28,IN,1695410551
347,cole harbour,44.6724,-63.4751,292.0,53,20,1.79,CA,1695410552
348,kapa'a,22.0752,-159.319,300.33,78,40,6.69,US,1695410552
349,st. john's,47.5649,-52.7093,283.3,69,75,6.69,CA,1695410368
350,merizo village,13.2658,144.6691,299.46,97,99,3.65,GU,1695410553
351,puerto aysen,-45.4,-72.7,284.17,50,0,6.17,CL,1695410554
352,shimokizukuri,40.8061,140.3861,285.66,93,0,1.84,JP,1695410554
353,manggar,-2.8833,108.2667,299.06,77,100,3.09,ID,1695410555
354,hotan,37.0997,79.9269,286.96,75,100,9.18,CN,1695410555
355,belmonte,-15.8631,-38.8828,298.71,68,12,3.85,BR,1695410556
356,hirara,24.8,125.2833,299.3,94,1,2.06,JP,1695410556
357,weno,7.4515,151.8468,302.07,79,100,8.37,FM,1695410442
358,teguise,29.0605,-13.564,296.27,73,20,5.14,ES,1695410557
359,boyolangu,-8.1181,111.8935,294.28,93,47,0.78,ID,1695410558
360,usta muhammad,28.1794,68.0445,306.3,46,35,5.56,PK,1695410558
361,terrace,54.5163,-128.6035,288.1,82,75,11.83,CA,1695410559
362,albertina,-22.2008,-46.6158,306.25,22,69,3.9,BR,1695410559
363,tobelo,1.7284,128.0095,298.81,83,90,1.65,ID,1695410301
364,shevchenko,48.5,35.0,295.2,44,10,3.38,UA,1695410560
